alert_id,clinic_id,alert_type,reference_id,severity,trigger_metric,triggered_date,is_resolved
AL0147,CL0007,Low_Stock,DRG012,Critical,Current stock 11 < Buffer 86,2022-02-13,True
AL0148,CL0047,Low_Stock,DRG042,Medium,Current stock 19 < Buffer 123,2022-12-02,True
AL0149,CL0045,Outbreak_Warning,DIS013,High,Geospatial cluster detected: 39 cases within 5km radius,2024-08-17,True
AL0150,CL0028,Outbreak_Warning,DIS017,Critical,Geospatial cluster detected: 32 cases within 5km radius,2024-12-17,True
AL0151,CL0016,Outbreak_Warning,DIS027,High,Geospatial cluster detected: 27 cases within 5km radius,2022-07-05,True
AL0152,CL0042,Outbreak_Warning,DIS007,High,Geospatial cluster detected: 22 cases within 5km radius,2024-06-01,True
AL0153,CL0014,Outbreak_Warning,DIS016,Medium,Geospatial cluster detected: 10 cases within 5km radius,2021-08-21,True
AL0154,CL0024,Low_Stock,DRG057,Medium,Current stock 8 < Buffer 105,2024-06-28,True
AL0155,CL0040,Outbreak_Warning,DIS048,Critical,Geospatial cluster detected: 25 cases within 5km radius,2024-07-10,True
AL0156,CL0041,Disease_Spike,DIS037,High,Cases increased 160% in 72 hours,2023-02-09,True
AL0157,CL0014,Low_Stock,DRG018,High,Current stock 35 < Buffer 92,2022-12-17,True
AL0158,CL0010,Outbreak_Warning,DIS048,High,Geospatial cluster detected: 13 cases within 5km radius,2021-07-07,True
AL0159,CL0040,Outbreak_Warning,DIS022,High,Geospatial cluster detected: 38 cases within 5km radius,2024-08-02,True
AL0160,CL0031,Disease_Spike,DIS008,Medium,Cases increased 375% in 24 hours,2023-10-16,True
AL0161,CL0007,Outbreak_Warning,DIS028,High,Geospatial cluster detected: 48 cases within 5km radius,2025-04-03,True
AL0162,CL0050,Disease_Spike,DIS026,Critical,Cases increased 439% in 48 hours,2022-01-07,True
AL0163,CL0012,Outbreak_Warning,DIS021,High,Geospatial cluster detected: 41 cases within 5km radius,2023-01-20,False
AL0164,CL0033,Low_Stock,DRG041,Critical,Current stock 47 < Buffer 75,2025-12-26,True
AL0165,CL0027,Disease_Spike,DIS041,High,Cases increased 500% in 24 hours,2022-07-15,True
AL0166,CL0002,Disease_Spike,DIS042,Critical,Cases increased 373% in 24 hours,2022-06-19,False
AL0167,CL0007,Outbreak_Warning,DIS049,Medium,Geospatial cluster detected: 13 cases within 5km radius,2025-01-18,True
AL0168,CL0033,Low_Stock,DRG051,Critical,Current stock 13 < Buffer 119,2025-07-11,True
AL0169,CL0026,Disease_Spike,DIS002,Critical,Cases increased 179% in 48 hours,2023-04-09,True
AL0170,CL0033,Outbreak_Warning,DIS025,High,Geospatial cluster detected: 35 cases within 5km radius,2022-08-06,True
AL0171,CL0049,Disease_Spike,DIS027,Critical,Cases increased 212% in 72 hours,2022-06-08,True
AL0172,CL0015,Disease_Spike,DIS014,Critical,Cases increased 366% in 24 hours,2021-12-25,True
AL0173,CL0019,Outbreak_Warning,DIS003,High,Geospatial cluster detected: 40 cases within 5km radius,2024-12-11,True
AL0174,CL0046,Low_Stock,DRG037,Medium,Current stock 15 < Buffer 134,2022-08-20,True
AL0175,CL0013,Disease_Spike,DIS018,Critical,Cases increased 335% in 48 hours,2022-01-09,True
AL0176,CL0049,Low_Stock,DRG001,Medium,Current stock 16 < Buffer 150,2021-06-13,True
AL0177,CL0041,Disease_Spike,DIS048,Critical,Cases increased 401% in 72 hours,2023-01-08,True
AL0178,CL0017,Low_Stock,DRG077,High,Current stock 13 < Buffer 78,2025-10-16,True
AL0179,CL0044,Outbreak_Warning,DIS025,Medium,Geospatial cluster detected: 48 cases within 5km radius,2025-01-04,True
AL0180,CL0008,Low_Stock,DRG025,Medium,Current stock 35 < Buffer 148,2022-12-10,True
AL0181,CL0023,Low_Stock,DRG084,Critical,Current stock 31 < Buffer 113,2023-01-26,True
AL0182,CL0007,Outbreak_Warning,DIS014,Medium,Geospatial cluster detected: 47 cases within 5km radius,2024-02-05,True
AL0183,CL0037,Disease_Spike,DIS038,Medium,Cases increased 256% in 48 hours,2021-01-17,True
AL0184,CL0017,Outbreak_Warning,DIS015,Critical,Geospatial cluster detected: 32 cases within 5km radius,2022-08-20,True
AL0185,CL0038,Outbreak_Warning,DIS030,High,Geospatial cluster detected: 48 cases within 5km radius,2024-01-12,True
AL0186,CL0022,Low_Stock,DRG016,Critical,Current stock 38 < Buffer 86,2021-12-10,True
AL0187,CL0032,Outbreak_Warning,DIS036,Critical,Geospatial cluster detected: 10 cases within 5km radius,2022-08-13,True
AL0188,CL0015,Disease_Spike,DIS006,Critical,Cases increased 393% in 72 hours,2022-04-24,False
AL0189,CL0040,Disease_Spike,DIS001,Medium,Cases increased 346% in 48 hours,2022-03-03,True
AL0190,CL0035,Outbreak_Warning,DIS043,Medium,Geospatial cluster detected: 20 cases within 5km radius,2022-12-14,True
AL0191,CL0034,Outbreak_Warning,DIS031,High,Geospatial cluster detected: 13 cases within 5km radius,2023-09-26,True
AL0192,CL0027,Disease_Spike,DIS020,Critical,Cases increased 196% in 24 hours,2021-07-23,False
AL0193,CL0029,Low_Stock,DRG028,High,Current stock 12 < Buffer 104,2023-02-22,False
AL0194,CL0018,Low_Stock,DRG052,High,Current stock 19 < Buffer 84,2021-05-09,False
AL0195,CL0014,Disease_Spike,DIS015,Medium,Cases increased 383% in 72 hours,2021-02-16,True
AL0196,CL0020,Low_Stock,DRG091,Medium,Current stock 22 < Buffer 105,2021-03-12,False
AL0197,CL0029,Disease_Spike,DIS047,High,Cases increased 327% in 48 hours,2023-01-24,False
AL0198,CL0004,Low_Stock,DRG084,Critical,Current stock 48 < Buffer 116,2023-08-11,True
AL0199,CL0038,Disease_Spike,DIS029,Critical,Cases increased 430% in 24 hours,2023-01-11,True
AL0200,CL0025,Disease_Spike,DIS019,Medium,Cases increased 192% in 48 hours,2022-01-28,True
AL0201,CL0007,Disease_Spike,DIS026,Critical,Cases increased 438% in 72 hours,2025-12-12,True
AL0202,CL0048,Disease_Spike,DIS023,High,Cases increased 180% in 24 hours,2024-02-22,True
AL0203,CL0037,Outbreak_Warning,DIS004,Medium,Geospatial cluster detected: 49 cases within 5km radius,2023-08-14,True
AL0204,CL0020,Low_Stock,DRG091,Medium,Current stock 6 < Buffer 78,2024-06-01,False
AL0205,CL0026,Disease_Spike,DIS012,Medium,Cases increased 440% in 24 hours,2023-12-27,True
AL0206,CL0050,Disease_Spike,DIS019,Critical,Cases increased 306% in 72 hours,2025-02-11,False
AL0207,CL0033,Disease_Spike,DIS039,High,Cases increased 451% in 24 hours,2024-12-16,True
AL0208,CL0004,Outbreak_Warning,DIS039,High,Geospatial cluster detected: 37 cases within 5km radius,2021-12-14,True
AL0209,CL0022,Outbreak_Warning,DIS040,High,Geospatial cluster detected: 37 cases within 5km radius,2021-07-18,True
AL0210,CL0010,Outbreak_Warning,DIS019,High,Geospatial cluster detected: 41 cases within 5km radius,2022-05-18,True
AL0211,CL0003,Low_Stock,DRG048,Medium,Current stock 8 < Buffer 122,2024-12-19,True
AL0212,CL0004,Outbreak_Warning,DIS009,High,Geospatial cluster detected: 17 cases within 5km radius,2022-08-10,True
AL0213,CL0044,Disease_Spike,DIS022,Medium,Cases increased 331% in 48 hours,2022-06-05,True
AL0214,CL0031,Low_Stock,DRG008,Critical,Current stock 31 < Buffer 94,2024-06-14,False
AL0215,CL0031,Disease_Spike,DIS018,Medium,Cases increased 296% in 24 hours,2023-10-08,True
AL0216,CL0025,Disease_Spike,DIS048,Medium,Cases increased 261% in 72 hours,2021-09-25,True
AL0217,CL0024,Outbreak_Warning,DIS038,High,Geospatial cluster detected: 47 cases within 5km radius,2025-12-03,True
AL0218,CL0009,Outbreak_Warning,DIS003,Critical,Geospatial cluster detected: 31 cases within 5km radius,2021-06-26,True
AL0219,CL0044,Disease_Spike,DIS017,Medium,Cases increased 295% in 72 hours,2022-12-09,True
AL0220,CL0018,Low_Stock,DRG089,Medium,Current stock 13 < Buffer 125,2022-01-23,True
AL0221,CL0028,Low_Stock,DRG056,High,Current stock 7 < Buffer 66,2023-06-09,True
AL0222,CL0020,Outbreak_Warning,DIS046,Critical,Geospatial cluster detected: 12 cases within 5km radius,2023-06-27,True
AL0223,CL0002,Disease_Spike,DIS042,Critical,Cases increased 257% in 24 hours,2021-02-26,True
AL0224,CL0018,Low_Stock,DRG071,Critical,Current stock 21 < Buffer 85,2023-06-22,True
AL0225,CL0005,Disease_Spike,DIS008,Medium,Cases increased 437% in 72 hours,2024-03-28,True
AL0226,CL0007,Disease_Spike,DIS011,Medium,Cases increased 150% in 72 hours,2021-03-26,True
AL0227,CL0048,Outbreak_Warning,DIS021,Medium,Geospatial cluster detected: 16 cases within 5km radius,2023-01-01,False
AL0228,CL0021,Low_Stock,DRG041,Critical,Current stock 27 < Buffer 99,2024-12-23,True
AL0229,CL0036,Disease_Spike,DIS024,High,Cases increased 355% in 48 hours,2021-12-20,True
AL0230,CL0040,Disease_Spike,DIS029,High,Cases increased 194% in 24 hours,2021-12-06,True
AL0231,CL0013,Low_Stock,DRG031,Critical,Current stock 18 < Buffer 80,2022-12-25,True
AL0232,CL0033,Outbreak_Warning,DIS021,Critical,Geospatial cluster detected: 35 cases within 5km radius,2023-01-12,True
AL0233,CL0028,Low_Stock,DRG025,Critical,Current stock 29 < Buffer 121,2021-12-12,True
AL0234,CL0028,Low_Stock,DRG036,Critical,Current stock 34 < Buffer 74,2023-12-11,True
AL0235,CL0004,Disease_Spike,DIS020,Critical,Cases increased 327% in 72 hours,2025-06-05,True
AL0236,CL0039,Disease_Spike,DIS028,High,Cases increased 181% in 24 hours,2022-12-04,True
AL0237,CL0011,Outbreak_Warning,DIS034,Critical,Geospatial cluster detected: 17 cases within 5km radius,2022-09-03,True
AL0238,CL0010,Disease_Spike,DIS038,Critical,Cases increased 193% in 72 hours,2024-06-19,True
AL0239,CL0002,Low_Stock,DRG035,High,Current stock 38 < Buffer 145,2024-08-16,True
AL0240,CL0012,Disease_Spike,DIS031,High,Cases increased 452% in 72 hours,2023-12-12,True
AL0241,CL0003,Disease_Spike,DIS006,Critical,Cases increased 188% in 72 hours,2022-10-25,True
AL0242,CL0005,Outbreak_Warning,DIS012,Critical,Geospatial cluster detected: 44 cases within 5km radius,2022-02-10,True
AL0243,CL0013,Low_Stock,DRG052,High,Current stock 35 < Buffer 79,2024-12-26,True
AL0244,CL0038,Low_Stock,DRG014,High,Current stock 25 < Buffer 129,2022-08-13,True
AL0245,CL0040,Low_Stock,DRG034,Medium,Current stock 30 < Buffer 107,2024-01-18,True
AL0246,CL0023,Low_Stock,DRG032,Critical,Current stock 11 < Buffer 105,2024-10-23,True
AL0247,CL0040,Low_Stock,DRG095,High,Current stock 12 < Buffer 144,2024-08-28,True
AL0248,CL0047,Outbreak_Warning,DIS018,Critical,Geospatial cluster detected: 38 cases within 5km radius,2025-06-09,True
AL0249,CL0030,Disease_Spike,DIS005,Critical,Cases increased 165% in 48 hours,2025-07-24,True
AL0250,CL0034,Outbreak_Warning,DIS012,Critical,Geospatial cluster detected: 45 cases within 5km radius,2023-07-11,True
AL0251,CL0032,Outbreak_Warning,DIS008,Medium,Geospatial cluster detected: 37 cases within 5km radius,2025-09-16,True
AL0252,CL0036,Low_Stock,DRG023,Critical,Current stock 44 < Buffer 67,2021-09-02,True
AL0253,CL0044,Low_Stock,DRG022,High,Current stock 26 < Buffer 116,2023-08-25,True
AL0254,CL0033,Disease_Spike,DIS002,High,Cases increased 458% in 24 hours,2025-08-13,True
AL0255,CL0039,Disease_Spike,DIS049,Critical,Cases increased 184% in 48 hours,2023-06-17,True
AL0256,CL0013,Disease_Spike,DIS032,High,Cases increased 361% in 48 hours,2021-06-22,True
AL0257,CL0015,Low_Stock,DRG066,High,Current stock 24 < Buffer 80,2024-08-02,True
AL0258,CL0031,Low_Stock,DRG079,High,Current stock 17 < Buffer 125,2024-08-07,True
AL0259,CL0047,Outbreak_Warning,DIS016,Critical,Geospatial cluster detected: 23 cases within 5km radius,2025-07-14,True
AL0260,CL0017,Outbreak_Warning,DIS047,Critical,Geospatial cluster detected: 42 cases within 5km radius,2025-04-26,True
